Code;Année;Taux Chomage
FR-36;01/01/2015;9.67
FR-37;01/01/2015;9.27
FR-38;01/01/2015;8.6
FR-39;01/01/2015;7.75
FR-40;01/01/2015;9.6
FR-41;01/01/2015;9.02
FR-42;01/01/2015;10.22
FR-43;01/01/2015;8.4
FR-44;01/01/2015;8.82
FR-45;01/01/2015;10.07
FR-46;01/01/2015;9.17
FR-47;01/01/2015;10.3
FR-48;01/01/2015;6.45
FR-49;01/01/2015;9.57
FR-50;01/01/2015;8.32
FR-51;01/01/2015;10.00
FR-52;01/01/2015;9.8
FR-53;01/01/2015;7.07
FR-54;01/01/2015;10.12
FR-55;01/01/2015;10.12
FR-56;01/01/2015;9.4
FR-57;01/01/2015;10.6
FR-58;01/01/2015;9.75
FR-59;01/01/2015;13.02
FR-60;01/01/2015;10.15
FR-61;01/01/2015;9.47
FR-62;01/01/2015;13.02
FR-63;01/01/2015;8.92
FR-64;01/01/2015;8.65
FR-65;01/01/2015;11.45
FR-66;01/01/2015;15.32
FR-67;01/01/2015;8.97
FR-68;01/01/2015;9.97
FR-69;01/01/2015;9.3
FR-70;01/01/2015;9.75
FR-71;01/01/2015;9.3
FR-72;01/01/2015;10.12
FR-73;01/01/2015;8.2
FR-74;01/01/2015;7.62
FR-75;01/01/2015;8.2
FR-76;01/01/2015;11.22
FR-77;01/01/2015;8.17
FR-78;01/01/2015;7.45
FR-79;01/01/2015;7.97
FR-80;01/01/2015;12.02
FR-81;01/01/2015;11.05
FR-82;01/01/2015;11.6
FR-83;01/01/2015;11.1
FR-84;01/01/2015;12.95
FR-85;01/01/2015;8.42
FR-86;01/01/2015;8.55
FR-87;01/01/2015;9.8
FR-88;01/01/2015;11.72
FR-89;01/01/2015;9.87
FR-90;01/01/2015;11.5
FR-91;01/01/2015;7.7
FR-92;01/01/2015;7.85
FR-93;01/01/2015;13.1
FR-94;01/01/2015;9.00
FR-95;01/01/2015;10.27
FR-01;01/01/2016;7.35
FR-02;01/01/2016;13.62
FR-03;01/01/2016;10.35
FR-04;01/01/2016;11.05
FR-05;01/01/2016;9.25
FR-06;01/01/2016;10.32
FR-07;01/01/2016;10.65
FR-08;01/01/2016;11.97
FR-09;01/01/2016;11.97
FR-10;01/01/2016;12.62
FR-11;01/01/2016;13.55
FR-12;01/01/2016;7.32
FR-13;01/01/2016;11.72
FR-14;01/01/2016;9.4
FR-15;01/01/2016;6.25
FR-16;01/01/2016;9.72
FR-17;01/01/2016;10.25
FR-18;01/01/2016;10.37
FR-19;01/01/2016;8.17
FR-21;01/01/2016;8.5
FR-22;01/01/2016;9.00
FR-23;01/01/2016;9.12
FR-24;01/01/2016;10.3
FR-25;01/01/2016;9.12
FR-26;01/01/2016;10.92
FR-27;01/01/2016;10.27
FR-28;01/01/2016;9.47
FR-29;01/01/2016;8.97
FR-2A;01/01/2016;9.4
FR-2B;01/01/2016;10.57
FR-30;01/01/2016;13.32
FR-31;01/01/2016;10.12
FR-32;01/01/2016;8.02
FR-33;01/01/2016;9.97
FR-34;01/01/2016;13.67
FR-35;01/01/2016;7.9
FR-36;01/01/2016;9.77
FR-37;01/01/2016;9.12
FR-38;01/01/2016;8.4
FR-39;01/01/2016;7.52
FR-40;01/01/2016;9.42
FR-41;01/01/2016;8.7
FR-42;01/01/2016;9.97
FR-43;01/01/2016;8.25
FR-44;01/01/2016;8.3
FR-45;01/01/2016;9.9
FR-46;01/01/2016;9.07
FR-47;01/01/2016;10.17
FR-48;01/01/2016;6.32
FR-49;01/01/2016;9.25
FR-50;01/01/2016;7.97
FR-51;01/01/2016;9.55
FR-52;01/01/2016;9.42
FR-53;01/01/2016;6.75
FR-54;01/01/2016;9.85
FR-55;01/01/2016;9.75
FR-56;01/01/2016;9.07
FR-57;01/01/2016;10.12
FR-58;01/01/2016;9.35
FR-59;01/01/2016;12.6
FR-60;01/01/2016;9.95
FR-61;01/01/2016;9.3
FR-62;01/01/2016;12.42
FR-63;01/01/2016;8.75
FR-64;01/01/2016;8.27
FR-65;01/01/2016;11.2
FR-66;01/01/2016;15.17
FR-67;01/01/2016;8.75
FR-68;01/01/2016;9.8
FR-69;01/01/2016;9.00
FR-70;01/01/2016;9.2
FR-71;01/01/2016;9.02
FR-72;01/01/2016;9.75
FR-73;01/01/2016;7.95
FR-74;01/01/2016;7.42
FR-75;01/01/2016;7.85
FR-76;01/01/2016;11.25
FR-77;01/01/2016;7.95
FR-78;01/01/2016;7.4
FR-79;01/01/2016;7.85
FR-80;01/01/2016;11.97
FR-81;01/01/2016;10.65
FR-82;01/01/2016;11.5
FR-83;01/01/2016;10.77
FR-84;01/01/2016;12.8
FR-85;01/01/2016;7.85
FR-86;01/01/2016;8.4
FR-87;01/01/2016;9.5
FR-88;01/01/2016;10.97
FR-89;01/01/2016;9.57
FR-90;01/01/2016;10.85
FR-91;01/01/2016;7.65
FR-92;01/01/2016;7.55
FR-93;01/01/2016;12.72
FR-94;01/01/2016;8.82
FR-95;01/01/2016;10.07
FR-01;01/01/2017;6.72
FR-02;01/01/2017;12.97
FR-03;01/01/2017;9.72
FR-04;01/01/2017;10.7
FR-05;01/01/2017;8.7
FR-06;01/01/2017;9.82
FR-07;01/01/2017;10.05
FR-08;01/01/2017;11.05
FR-09;01/01/2017;11.47
FR-10;01/01/2017;11.92
FR-11;01/01/2017;12.65
FR-12;01/01/2017;6.92
FR-13;01/01/2017;11.27
FR-14;01/01/2017;8.7
FR-15;01/01/2017;5.65
FR-16;01/01/2017;8.92
FR-17;01/01/2017;9.47
FR-18;01/01/2017;9.72
FR-19;01/01/2017;7.45
FR-21;01/01/2017;7.8
FR-22;01/01/2017;8.32
FR-23;01/01/2017;8.52
FR-24;01/01/2017;9.65
FR-25;01/01/2017;8.25
FR-26;01/01/2017;10.12
FR-27;01/01/2017;9.52
FR-28;01/01/2017;8.87
FR-29;01/01/2017;8.2
FR-2A;01/01/2017;9.1
FR-2B;01/01/2017;9.8
FR-30;01/01/2017;12.52
FR-31;01/01/2017;9.2
FR-32;01/01/2017;7.2
FR-33;01/01/2017;9.37
FR-34;01/01/2017;12.95
FR-35;01/01/2017;7.2
FR-36;01/01/2017;9.12
FR-37;01/01/2017;8.5
FR-38;01/01/2017;7.82
FR-39;01/01/2017;6.85
FR-40;01/01/2017;9.02
FR-41;01/01/2017;8.00
FR-42;01/01/2017;9.2
FR-43;01/01/2017;7.4
FR-44;01/01/2017;7.57
FR-45;01/01/2017;9.05
FR-46;01/01/2017;8.77
FR-47;01/01/2017;9.25
FR-48;01/01/2017;5.95
FR-49;01/01/2017;8.47
FR-50;01/01/2017;7.22
FR-51;01/01/2017;8.82
FR-52;01/01/2017;8.55
FR-53;01/01/2017;6.17
FR-54;01/01/2017;9.25
FR-55;01/01/2017;9.02
FR-56;01/01/2017;8.37
FR-57;01/01/2017;9.55
FR-58;01/01/2017;8.4
FR-59;01/01/2017;12.17
FR-60;01/01/2017;9.4
FR-61;01/01/2017;8.62
FR-62;01/01/2017;11.5
FR-63;01/01/2017;8.15
FR-64;01/01/2017;7.82
FR-65;01/01/2017;10.27
FR-66;01/01/2017;14.32
FR-67;01/01/2017;8.1
FR-68;01/01/2017;9.00
FR-69;01/01/2017;8.37
FR-70;01/01/2017;8.55
FR-71;01/01/2017;8.3
FR-72;01/01/2017;8.97
FR-73;01/01/2017;7.3
FR-74;01/01/2017;6.82
FR-75;01/01/2017;7.37
FR-76;01/01/2017;10.6
FR-77;01/01/2017;7.5
FR-78;01/01/2017;7.00
FR-79;01/01/2017;7.2
FR-80;01/01/2017;11.22
FR-81;01/01/2017;10.02
FR-82;01/01/2017;10.8
FR-83;01/01/2017;10.17
FR-84;01/01/2017;11.97
FR-85;01/01/2017;7.12
FR-86;01/01/2017;7.62
FR-87;01/01/2017;8.67
FR-88;01/01/2017;10.00
FR-89;01/01/2017;8.72
FR-90;01/01/2017;9.55
FR-91;01/01/2017;7.22
FR-92;01/01/2017;7.07
FR-93;01/01/2017;12.00
FR-94;01/01/2017;8.37
FR-95;01/01/2017;9.52
FR-01;01/01/2020;6.00
FR-02;01/01/2020;11.1
FR-03;01/01/2020;8.6
FR-04;01/01/2020;9.4
FR-05;01/01/2020;7.5
FR-06;01/01/2020;8.9
FR-07;01/01/2020;8.7
FR-08;01/01/2020;9.6
FR-09;01/01/2020;9.9
FR-10;01/01/2020;9.9
FR-11;01/01/2020;10.5
FR-12;01/01/2020;6.00
FR-13;01/01/2020;9.3
FR-14;01/01/2020;7.4
FR-15;01/01/2020;4.7
FR-16;01/01/2020;7.8
FR-17;01/01/2020;8.3
FR-18;01/01/2020;8.00
FR-19;01/01/2020;6.5
FR-21;01/01/2020;6.1
FR-22;01/01/2020;7.00
FR-23;01/01/2020;7.2
FR-24;01/01/2020;8.1
FR-25;01/01/2020;7.4
FR-26;01/01/2020;8.6
FR-27;01/01/2020;8.1
FR-28;01/01/2020;7.4
FR-29;01/01/2020;6.9
FR-2A;01/01/2020;7.7
FR-2B;01/01/2020;8.2
FR-30;01/01/2020;10.8
FR-31;01/01/2020;7.9
FR-32;01/01/2020;5.9
FR-33;01/01/2020;7.6
FR-34;01/01/2020;11.2
FR-35;01/01/2020;6.4
FR-36;01/01/2020;7.8
FR-37;01/01/2020;7.2
FR-38;01/01/2020;6.6
FR-39;01/01/2020;5.7
