ISO_Code;Date;NombeDelit
FR-24;01/01/2022;10866
FR-25;01/01/2022;17368
FR-26;01/01/2022;18386
FR-27;01/01/2022;17532
FR-28;01/01/2022;11955
FR-29;01/01/2022;25608
FR-2A;01/01/2022;4754
FR-2B;01/01/2022;4850
FR-30;01/01/2022;26533
FR-31;01/01/2022;62275
FR-32;01/01/2022;4483
FR-33;01/01/2022;66589
FR-34;01/01/2022;51482
FR-36;01/01/2022;6246
FR-35;01/01/2022;34321
FR-37;01/01/2022;20576
FR-38;01/01/2022;51159
FR-39;01/01/2022;7014
FR-40;01/01/2022;13330
FR-41;01/01/2022;8987
FR-42;01/01/2022;26781
FR-43;01/01/2022;5958
FR-44;01/01/2022;60176
FR-45;01/01/2022;21614
FR-46;01/01/2022;4683
FR-47;01/01/2022;10002
FR-48;01/01/2022;1675
FR-49;01/01/2022;21622
FR-50;01/01/2022;11210
FR-51;01/01/2022;21635
FR-52;01/01/2022;5280
FR-53;01/01/2022;7720
FR-54;01/01/2022;25281
FR-55;01/01/2022;5698
FR-56;01/01/2022;21488
FR-57;01/01/2022;30213
FR-58;01/01/2022;5679
FR-59;01/01/2022;109036
FR-60;01/01/2022;28519
FR-61;01/01/2022;8270
FR-62;01/01/2022;50282
FR-63;01/01/2022;19316
FR-64;01/01/2022;18669
FR-65;01/01/2022;6739
FR-66;01/01/2022;21145
FR-67;01/01/2022;35158
FR-68;01/01/2022;22663
FR-69;01/01/2022;100731
FR-70;01/01/2022;5582
FR-71;01/01/2022;14276
FR-72;01/01/2022;16588
FR-73;01/01/2022;14312
FR-74;01/01/2022;28107
FR-75;01/01/2022;192414
FR-76;01/01/2022;45900
FR-77;01/01/2022;56238
FR-78;01/01/2022;54509
FR-79;01/01/2022;9649
FR-80;01/01/2022;19153
FR-81;01/01/2022;10938
FR-82;01/01/2022;6777
FR-83;01/01/2022;46451
FR-84;01/01/2022;22228
FR-85;01/01/2022;17304
FR-86;01/01/2022;13755
FR-87;01/01/2022;11202
FR-88;01/01/2022;9390
FR-89;01/01/2022;11992
FR-90;01/01/2022;3733
FR-91;01/01/2022;51045
FR-92;01/01/2022;80579
FR-93;01/01/2022;102721
FR-94;01/01/2022;65423
FR-95;01/01/2022;57051
