ISO_Code;Grand secteur d'activité;Date;Valeur
FR-32;GS5 Autres services marchands hors intérim;01/01/2010;1786
FR-33;GS3 Commerce;01/01/2010;9691
FR-33;GS6 Intérim;01/01/2010;362
FR-33;GS1 Industrie;01/01/2010;3031
FR-33;GS7 Services non marchands;01/01/2010;3944
FR-33;GS2 Construction;01/01/2010;5406
FR-33;GS5 Autres services marchands hors intérim;01/01/2010;15930
FR-33;GS4 Hôtellerie-restauration;01/01/2010;3269
FR-34;GS3 Commerce;01/01/2010;7283
FR-34;GS2 Construction;01/01/2010;4278
FR-34;GS5 Autres services marchands hors intérim;01/01/2010;12463
FR-34;GS7 Services non marchands;01/01/2010;2864
FR-34;GS6 Intérim;01/01/2010;218
FR-34;GS4 Hôtellerie-restauration;01/01/2010;3191
FR-34;GS1 Industrie;01/01/2010;2030
FR-35;GS3 Commerce;01/01/2010;5829
FR-35;GS5 Autres services marchands hors intérim;01/01/2010;10244
FR-35;GS2 Construction;01/01/2010;3217
FR-35;GS6 Intérim;01/01/2010;244
FR-35;GS7 Services non marchands;01/01/2010;2395
FR-35;GS1 Industrie;01/01/2010;2180
FR-35;GS4 Hôtellerie-restauration;01/01/2010;2413
FR-36;GS7 Services non marchands;01/01/2010;563
FR-36;GS4 Hôtellerie-restauration;01/01/2010;456
FR-36;GS6 Intérim;01/01/2010;43
FR-36;GS1 Industrie;01/01/2010;659
FR-36;GS2 Construction;01/01/2010;789
FR-36;GS5 Autres services marchands hors intérim;01/01/2010;1999
FR-36;GS3 Commerce;01/01/2010;1326
FR-37;GS7 Services non marchands;01/01/2010;1464
FR-37;GS5 Autres services marchands hors intérim;01/01/2010;5680
FR-37;GS6 Intérim;01/01/2010;133
FR-37;GS1 Industrie;01/01/2010;1410
FR-37;GS2 Construction;01/01/2010;2067
FR-37;GS3 Commerce;01/01/2010;3292
FR-37;GS4 Hôtellerie-restauration;01/01/2010;1407
FR-38;GS1 Industrie;01/01/2010;3360
FR-38;GS7 Services non marchands;01/01/2010;2675
FR-38;GS6 Intérim;01/01/2010;328
FR-38;GS5 Autres services marchands hors intérim;01/01/2010;12070
FR-38;GS3 Commerce;01/01/2010;6888
FR-38;GS2 Construction;01/01/2010;4573
FR-38;GS4 Hôtellerie-restauration;01/01/2010;2822
FR-39;GS7 Services non marchands;01/01/2010;596
FR-39;GS4 Hôtellerie-restauration;01/01/2010;632
FR-39;GS6 Intérim;01/01/2010;62
FR-39;GS2 Construction;01/01/2010;963
FR-39;GS5 Autres services marchands hors intérim;01/01/2010;2178
FR-39;GS3 Commerce;01/01/2010;1620
FR-39;GS1 Industrie;01/01/2010;1012
FR-40;GS5 Autres services marchands hors intérim;01/01/2010;3513
FR-40;GS3 Commerce;01/01/2010;2455
FR-40;GS1 Industrie;01/01/2010;972
FR-40;GS2 Construction;01/01/2010;1613
FR-40;GS4 Hôtellerie-restauration;01/01/2010;1069
FR-40;GS6 Intérim;01/01/2010;75
FR-40;GS7 Services non marchands;01/01/2010;881
FR-41;GS3 Commerce;01/01/2010;1740
FR-41;GS2 Construction;01/01/2010;1359
FR-41;GS1 Industrie;01/01/2010;891
FR-41;GS4 Hôtellerie-restauration;01/01/2010;718
