Code du département.1;Nom.11;%Voix/Exp;annee
FR-93;14;8.41;01/01/2017
FR-94;14;7.77;01/01/2017
FR-95;14;6.84;01/01/2017
FR-01;16;1.06;01/01/2017
FR-02;16;0.79;01/01/2017
FR-03;16;1.55;01/01/2017
FR-04;16;1.73;01/01/2017
FR-05;16;1.85;01/01/2017
FR-06;16;0.9;01/01/2017
FR-07;16;1.81;01/01/2017
FR-08;16;0.96;01/01/2017
FR-09;16;3.54;01/01/2017
FR-10;16;0.72;01/01/2017
FR-11;16;2.17;01/01/2017
FR-12;16;3.66;01/01/2017
FR-13;16;0.96;01/01/2017
FR-14;16;0.72;01/01/2017
FR-15;16;3.1;01/01/2017
FR-16;16;1.55;01/01/2017
FR-17;16;1.38;01/01/2017
FR-18;16;1.11;01/01/2017
FR-19;16;2.92;01/01/2017
FR-21;16;0.92;01/01/2017
FR-22;16;0.95;01/01/2017
FR-23;16;1.92;01/01/2017
FR-24;16;2.43;01/01/2017
FR-25;16;0.89;01/01/2017
FR-26;16;1.34;01/01/2017
FR-27;16;0.77;01/01/2017
FR-28;16;0.83;01/01/2017
FR-29;16;1.11;01/01/2017
FR-2A;16;5.42;01/01/2017
FR-2B;16;5.84;01/01/2017
FR-30;16;1.41;01/01/2017
FR-31;16;2.01;01/01/2017
FR-32;16;4.26;01/01/2017
FR-33;16;1.93;01/01/2017
FR-34;16;1.35;01/01/2017
FR-35;16;0.76;01/01/2017
FR-36;16;1.32;01/01/2017
FR-37;16;0.86;01/01/2017
FR-38;16;0.99;01/01/2017
FR-39;16;1.33;01/01/2017
FR-40;16;4.23;01/01/2017
FR-41;16;0.95;01/01/2017
FR-42;16;1.29;01/01/2017
FR-43;16;2.23;01/01/2017
FR-44;16;0.74;01/01/2017
FR-45;16;0.9;01/01/2017
FR-46;16;2.77;01/01/2017
FR-47;16;3.22;01/01/2017
FR-48;16;3.66;01/01/2017
FR-49;16;0.76;01/01/2017
FR-50;16;0.84;01/01/2017
FR-51;16;0.8;01/01/2017
FR-52;16;1.1;01/01/2017
FR-53;16;0.85;01/01/2017
FR-54;16;0.85;01/01/2017
FR-55;16;1.21;01/01/2017
FR-56;16;1.03;01/01/2017
FR-57;16;1.03;01/01/2017
FR-58;16;1.13;01/01/2017
FR-59;16;0.63;01/01/2017
FR-60;16;0.78;01/01/2017
FR-61;16;0.89;01/01/2017
FR-62;16;0.7;01/01/2017
FR-63;16;2.06;01/01/2017
FR-64;16;7.55;01/01/2017
FR-65;16;4.96;01/01/2017
FR-66;16;1.74;01/01/2017
FR-67;16;1.07;01/01/2017
FR-68;16;1.24;01/01/2017
FR-69;16;0.75;01/01/2017
FR-70;16;1.08;01/01/2017
FR-71;16;1.02;01/01/2017
FR-72;16;0.66;01/01/2017
FR-73;16;1.3;01/01/2017
FR-74;16;1.12;01/01/2017
FR-75;16;0.51;01/01/2017
FR-76;16;0.64;01/01/2017
FR-77;16;0.76;01/01/2017
FR-78;16;0.71;01/01/2017
FR-79;16;1.21;01/01/2017
FR-80;16;0.74;01/01/2017
FR-81;16;3.04;01/01/2017
FR-82;16;2.49;01/01/2017
FR-83;16;1.13;01/01/2017
FR-84;16;1.27;01/01/2017
FR-85;16;0.91;01/01/2017
FR-86;16;1.2;01/01/2017
FR-87;16;1.69;01/01/2017
FR-88;16;1.25;01/01/2017
FR-89;16;1.08;01/01/2017
FR-90;16;0.93;01/01/2017
FR-91;16;0.72;01/01/2017
FR-92;16;0.6;01/01/2017
FR-93;16;0.58;01/01/2017
FR-94;16;0.65;01/01/2017
FR-95;16;0.73;01/01/2017
FR-01;21;25;01/01/2017
FR-02;21;35.67;01/01/2017
FR-03;21;22.34;01/01/2017
FR-04;21;24.53;01/01/2017
FR-05;21;21.25;01/01/2017
FR-06;21;27.75;01/01/2017
FR-07;21;23.17;01/01/2017
FR-08;21;32.41;01/01/2017
FR-09;21;21.7;01/01/2017
FR-10;21;30.33;01/01/2017
FR-11;21;28.26;01/01/2017
FR-12;21;16.2;01/01/2017
FR-13;21;27.28;01/01/2017
FR-14;21;20.36;01/01/2017
FR-15;21;18.17;01/01/2017
FR-16;21;21.4;01/01/2017
FR-17;21;21.14;01/01/2017
FR-18;21;24.18;01/01/2017
FR-19;21;17.34;01/01/2017
FR-21;21;22.52;01/01/2017
FR-22;21;16.46;01/01/2017
FR-23;21;19.88;01/01/2017
FR-24;21;20.93;01/01/2017
FR-25;21;23.45;01/01/2017
FR-26;21;23.9;01/01/2017
FR-27;21;29.31;01/01/2017
FR-28;21;25.08;01/01/2017
FR-29;21;13.89;01/01/2017
FR-2A;21;28.62;01/01/2017
FR-2B;21;27.22;01/01/2017
FR-30;21;29.3;01/01/2017
FR-31;21;16.71;01/01/2017
FR-32;21;19.71;01/01/2017
FR-33;21;18.26;01/01/2017
FR-34;21;25.7;01/01/2017
FR-35;21;14.12;01/01/2017
FR-36;21;24.43;01/01/2017
FR-37;21;18.98;01/01/2017
FR-38;21;22.33;01/01/2017
FR-39;21;24.14;01/01/2017
FR-40;21;18.14;01/01/2017
FR-41;21;25.12;01/01/2017
FR-42;21;24.08;01/01/2017
FR-43;21;23.06;01/01/2017
FR-44;21;13.7;01/01/2017
FR-45;21;23.53;01/01/2017
FR-46;21;16.13;01/01/2017
FR-47;21;25.03;01/01/2017
FR-48;21;18.89;01/01/2017
FR-49;21;16.98;01/01/2017
FR-50;21;20.51;01/01/2017
FR-51;21;28.07;01/01/2017
FR-52;21;33.22;01/01/2017
FR-53;21;16.9;01/01/2017
FR-54;21;25.86;01/01/2017
FR-55;21;32.32;01/01/2017
FR-56;21;17.69;01/01/2017
FR-57;21;28.35;01/01/2017
FR-58;21;24.76;01/01/2017
FR-59;21;28.22;01/01/2017
FR-60;21;30.88;01/01/2017
FR-61;21;23.81;01/01/2017
FR-62;21;34.35;01/01/2017
FR-63;21;17.68;01/01/2017
FR-64;21;13.74;01/01/2017
FR-65;21;18.57;01/01/2017
FR-66;21;30.05;01/01/2017
FR-67;21;24.7;01/01/2017
FR-68;21;27.16;01/01/2017
FR-69;21;16.26;01/01/2017
FR-70;21;31.36;01/01/2017
FR-71;21;24.28;01/01/2017
FR-72;21;20.8;01/01/2017
FR-73;21;21.71;01/01/2017
FR-74;21;18.84;01/01/2017
FR-75;21;4.99;01/01/2017
FR-76;21;24.9;01/01/2017
FR-77;21;22.85;01/01/2017
FR-78;21;12.92;01/01/2017
FR-79;21;18.02;01/01/2017
FR-80;21;30.37;01/01/2017
FR-81;21;22.42;01/01/2017
FR-82;21;26.69;01/01/2017
FR-83;21;30.43;01/01/2017
FR-84;21;30.53;01/01/2017
FR-85;21;18.53;01/01/2017
FR-86;21;19.78;01/01/2017
FR-87;21;18.2;01/01/2017
FR-88;21;29.12;01/01/2017
FR-89;21;28.52;01/01/2017
FR-90;21;26.89;01/01/2017
FR-91;21;16.43;01/01/2017
FR-92;21;7.64;01/01/2017
FR-93;21;13.59;01/01/2017
FR-94;21;11.5;01/01/2017
FR-95;21;17.18;01/01/2017
FR-01;17;22.62;01/01/2017
FR-02;17;17.94;01/01/2017
FR-03;17;23.72;01/01/2017
