CodeDep;Année;Hommes;Femmes;total
FR-08;01/01/2015;135502;142250;277752
FR-09;01/01/2015;74509;77990;152499
FR-10;01/01/2015;150077;158979;309056
FR-11;01/01/2015;176762;190195;366957
FR-12;01/01/2015;137383;141786;279169
FR-13;01/01/2015;965445;1051177;2016622
FR-14;01/01/2015;333893;359686;693579
FR-15;01/01/2015;71239;74980;146219
FR-16;01/01/2015;171597;182016;353613
FR-17;01/01/2015;307008;332930;639938
FR-18;01/01/2015;150109;158883;308992
FR-19;01/01/2015;117244;124627;241871
FR-2A;01/01/2015;73941;78789;152730
FR-2B;01/01/2015;85485;89068;174553
FR-21;01/01/2015;257709;275438;533147
FR-22;01/01/2015;289000;309357;598357
FR-23;01/01/2015;58607;61758;120365
FR-24;01/01/2015;200162;215255;415417
FR-25;01/01/2015;262960;273999;536959
FR-26;01/01/2015;245086;259551;504637
FR-27;01/01/2015;294466;307482;601948
FR-28;01/01/2015;212210;221825;434035
FR-29;01/01/2015;441610;466186;907796
FR-30;01/01/2015;355841;382348;738189
FR-31;01/01/2015;651763;683340;1335103
FR-32;01/01/2015;93224;97708;190932
FR-33;01/01/2015;744260;804218;1548478
FR-34;01/01/2015;535617;584573;1120190
FR-35;01/01/2015;509499;533385;1042884
FR-36;01/01/2015;108294;115906;224200
FR-37;01/01/2015;290813;314153;604966
FR-38;01/01/2015;614621;636439;1251060
FR-39;01/01/2015;127209;133378;260587
FR-40;01/01/2015;195814;207420;403234
FR-41;01/01/2015;161839;171211;333050
FR-42;01/01/2015;366310;393101;759411
FR-43;01/01/2015;111646;115388;227034
FR-44;01/01/2015;662928;702299;1365227
FR-45;01/01/2015;327822;345527;673349
FR-46;01/01/2015;83968;89432;173400
FR-47;01/01/2015;160565;172852;333417
FR-48;01/01/2015;38030;38279;76309
FR-49;01/01/2015;394485;415701;810186
FR-50;01/01/2015;243366;255921;499287
FR-51;01/01/2015;277848;294445;572293
FR-52;01/01/2015;87689;91465;179154
FR-53;01/01/2015;151413;156527;307940
FR-54;01/01/2015;356979;377424;734403
FR-55;01/01/2015;94125;96501;190626
FR-56;01/01/2015;361098;383715;744813
FR-57;01/01/2015;511372;533114;1044486
FR-58;01/01/2015;102012;109735;211747
FR-59;01/01/2015;1258424;1346814;2605238
FR-60;01/01/2015;402532;419020;821552
FR-61;01/01/2015;139655;146963;286618
FR-62;01/01/2015;713171;759477;1472648
FR-63;01/01/2015;313600;333901;647501
FR-64;01/01/2015;321922;348110;670032
FR-65;01/01/2015;109918;118664;228582
FR-66;01/01/2015;224116;246922;471038
FR-67;01/01/2015;543505;573153;1116658
FR-68;01/01/2015;373106;389501;762607
FR-69;01/01/2015;876657;945338;1821995
FR-70;01/01/2015;117408;120298;237706
FR-71;01/01/2015;269473;285935;555408
FR-72;01/01/2015;276431;292014;568445
FR-73;01/01/2015;210087;218117;428204
FR-74;01/01/2015;389939;403999;793938
FR-75;01/01/2015;1038976;1167512;2206488
FR-76;01/01/2015;604578;653121;1257699
FR-77;01/01/2015;678207;711914;1390121
FR-78;01/01/2015;695590;731701;1427291
FR-79;01/01/2015;183461;190974;374435
FR-80;01/01/2015;278083;293796;571879
FR-81;01/01/2015;186151;200392;386543
FR-82;01/01/2015;124633;130641;255274
FR-83;01/01/2015;504178;544474;1048652
FR-84;01/01/2015;268137;289411;557548
FR-85;01/01/2015;326226;340488;666714
FR-86;01/01/2015;210228;224659;434887
FR-87;01/01/2015;179619;196176;375795
FR-88;01/01/2015;180673;191343;372016
FR-89;01/01/2015;165889;175014;340903
FR-90;01/01/2015;71786;72697;144483
FR-91;01/01/2015;624355;651878;1276233
FR-92;01/01/2015;763894;837675;1601569
FR-93;01/01/2015;783790;808873;1592663
FR-94;01/01/2015;659692;712697;1372389
FR-95;01/01/2015;590459;624931;1215390
FR-01;01/01/2016;314943;323482;638425
FR-02;01/01/2016;260963;275173;536136
FR-03;01/01/2016;162597;176787;339384
FR-04;01/01/2016;79161;83404;162565
FR-05;01/01/2016;69103;72004;141107
FR-06;01/01/2016;512933;570771;1083704
FR-07;01/01/2016;158661;166496;325157
FR-08;01/01/2016;134158;141213;275371
FR-09;01/01/2016;75077;77990;153067
FR-10;01/01/2016;149838;159072;308910
FR-11;01/01/2016;176987;191038;368025
FR-12;01/01/2016;137073;141624;278697
FR-13;01/01/2016;966565;1053152;2019717
FR-14;01/01/2016;333434;360245;693679
FR-15;01/01/2016;71134;74835;145969
FR-16;01/01/2016;171060;182228;353288
FR-17;01/01/2016;307435;334756;642191
FR-18;01/01/2016;149104;158006;307110
FR-19;01/01/2016;117174;124361;241535
FR-2A;01/01/2016;74687;79616;154303
FR-2B;01/01/2016;86112;90040;176152
FR-21;01/01/2016;257609;275604;533213
FR-22;01/01/2016;288979;309974;598953
FR-23;01/01/2016;58094;61408;119502
FR-24;01/01/2016;199771;215018;414789
FR-25;01/01/2016;263584;274965;538549
FR-26;01/01/2016;246950;261056;508006
FR-27;01/01/2016;294514;308311;602825
FR-28;01/01/2016;211815;222114;433929
FR-29;01/01/2016;441391;466858;908249
FR-30;01/01/2016;357738;384268;742006
FR-31;01/01/2016;657187;690996;1348183
FR-32;01/01/2016;93041;97623;190664
FR-33;01/01/2016;753052;813627;1566679
FR-34;01/01/2016;541919;590562;1132481
FR-35;01/01/2016;513657;538122;1051779
FR-36;01/01/2016;107680;115825;223505
FR-37;01/01/2016;291423;314800;606223
FR-38;01/01/2016;615367;637545;1252912
FR-39;01/01/2016;127060;133457;260517
FR-40;01/01/2016;196481;208529;405010
FR-41;01/01/2016;161729;171040;332769
FR-42;01/01/2016;367814;394183;761997
FR-43;01/01/2016;111857;115482;227339
FR-44;01/01/2016;670251;710601;1380852
FR-45;01/01/2016;328437;345893;674330
FR-46;01/01/2016;83947;89400;173347
FR-47;01/01/2016;160176;172657;332833
FR-48;01/01/2016;38060;38362;76422
FR-49;01/01/2016;394677;416257;810934
FR-50;01/01/2016;243060;255302;498362
FR-51;01/01/2016;277100;293783;570883
FR-52;01/01/2016;87090;90994;178084
FR-53;01/01/2016;151442;156246;307688
FR-54;01/01/2016;356726;377095;733821
FR-55;01/01/2016;93430;95625;189055
FR-56;01/01/2016;361967;385581;747548
FR-57;01/01/2016;511600;533671;1045271
FR-58;01/01/2016;100787;108374;209161
FR-59;01/01/2016;1257243;1346480;2603723
FR-60;01/01/2016;403300;420242;823542
FR-61;01/01/2016;138896;146412;285308
FR-62;01/01/2016;712791;757934;1470725
FR-63;01/01/2016;314840;335860;650700
FR-64;01/01/2016;323866;350120;673986
FR-65;01/01/2016;109489;118340;227829
FR-66;01/01/2016;225641;248728;474369
FR-67;01/01/2016;545523;575884;1121407
FR-68;01/01/2016;373589;389154;762743
FR-69;01/01/2016;882944;952959;1835903
FR-70;01/01/2016;116955;120287;237242
FR-71;01/01/2016;269530;285493;555023
FR-72;01/01/2016;276150;291411;567561
FR-73;01/01/2016;210525;219156;429681
FR-74;01/01/2016;393608;407808;801416
FR-75;01/01/2016;1030279;1160048;2190327
FR-76;01/01/2016;603404;652351;1255755
FR-77;01/01/2016;681453;716212;1397665
FR-78;01/01/2016;696830;734978;1431808
FR-79;01/01/2016;183334;191409;374743
FR-80;01/01/2016;278135;294609;572744
FR-81;01/01/2016;186113;200335;386448
FR-82;01/01/2016;125477;131420;256897
FR-83;01/01/2016;507349;548472;1055821
FR-84;01/01/2016;268361;290653;559014
FR-85;01/01/2016;327913;342684;670597
FR-86;01/01/2016;210616;225453;436069
FR-87;01/01/2016;179127;195851;374978
FR-88;01/01/2016;179470;190171;369641
FR-89;01/01/2016;165591;174953;340544
FR-90;01/01/2016;71676;72413;144089
FR-91;01/01/2016;629923;657407;1287330
FR-92;01/01/2016;764346;838922;1603268
FR-93;01/01/2016;790449;816211;1606660
FR-94;01/01/2016;662642;715509;1378151
FR-95;01/01/2016;593163;628760;1221923
FR-01;01/01/2017;317292;326058;643350
FR-02;01/01/2017;260669;273821;534490
FR-03;01/01/2017;161855;176133;337988
FR-04;01/01/2017;79837;84078;163915
FR-05;01/01/2017;69103;72181;141284
FR-06;01/01/2017;512378;570932;1083310
FR-07;01/01/2017;158821;166891;325712
FR-08;01/01/2017;133379;140200;273579
FR-09;01/01/2017;75055;78098;153153
FR-10;01/01/2017;150284;159736;310020
FR-11;01/01/2017;177975;192285;370260
FR-12;01/01/2017;137447;141759;279206
FR-13;01/01/2017;967933;1056229;2024162
FR-14;01/01/2017;333593;360409;694002
FR-15;01/01/2017;70752;74391;145143
FR-16;01/01/2017;170361;181974;352335
FR-17;01/01/2017;308520;335783;644303
FR-18;01/01/2017;147447;156809;304256
FR-19;01/01/2017;117094;124370;241464
FR-2A;01/01/2017;76152;81097;157249
FR-2B;01/01/2017;86784;90905;177689
FR-21;01/01/2017;257436;276383;533819
FR-22;01/01/2017;289020;309794;598814
FR-23;01/01/2017;57645;60993;118638
FR-24;01/01/2017;199412;214194;413606
FR-25;01/01/2017;263935;275132;539067
FR-26;01/01/2017;248121;263432;511553
FR-27;01/01/2017;293592;308251;601843
FR-28;01/01/2017;211809;221424;433233
FR-29;01/01/2017;441776;467252;909028
FR-30;01/01/2017;358644;385534;744178
FR-31;01/01/2017;663824;698848;1362672
FR-32;01/01/2017;93128;97963;191091
FR-33;01/01/2017;760828;822556;1583384
FR-34;01/01/2017;547170;597722;1144892
FR-35;01/01/2017;517764;542435;1060199
FR-36;01/01/2017;107128;115104;222232
FR-37;01/01/2017;291480;315031;606511
FR-38;01/01/2017;617719;641003;1258722
FR-39;01/01/2017;126825;133363;260188
FR-40;01/01/2017;197405;210039;407444
FR-41;01/01/2017;161185;170730;331915
FR-42;01/01/2017;368406;394535;762941
FR-43;01/01/2017;111745;115538;227283
FR-44;01/01/2017;677074;717835;1394909
FR-45;01/01/2017;329868;348237;678105
FR-46;01/01/2017;84272;89556;173828
FR-47;01/01/2017;159976;172866;332842
FR-48;01/01/2017;38124;38477;76601
FR-49;01/01/2017;396219;417274;813493
FR-50;01/01/2017;242224;254659;496883
FR-51;01/01/2017;275573;293322;568895
FR-52;01/01/2017;86003;89637;175640
FR-53;01/01/2017;151383;156062;307445
FR-54;01/01/2017;356534;376947;733481
FR-55;01/01/2017;92612;94575;187187
FR-56;01/01/2017;363866;386997;750863
FR-57;01/01/2017;510604;532918;1043522
FR-58;01/01/2017;99650;107532;207182
FR-59;01/01/2017;1257416;1346945;2604361
FR-60;01/01/2017;403495;421008;824503
FR-61;01/01/2017;137972;145400;283372
FR-62;01/01/2017;711096;756922;1468018
FR-63;01/01/2017;316235;337507;653742
FR-64;01/01/2017;325328;351981;677309
FR-65;01/01/2017;109927;118603;228530
FR-66;01/01/2017;225328;249124;474452
FR-67;01/01/2017;547552;578007;1125559
FR-68;01/01/2017;374414;389616;764030
FR-69;01/01/2017;886273;957046;1843319
FR-70;01/01/2017;116497;120162;236659
FR-71;01/01/2017;268754;284841;553595
